job_title_short;job_title;job_location;job_via;job_schedule_type;job_work_from_home;search_location;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;company_name;job_skills
Senior Data Scientist;Senior Data Scientist Data and Analytics Performance Operations;Bennington, NE;via ZipRecruiter;Full-time;FALSE;Sudan;24/04/2023 09:51;FALSE;TRUE;Sudan;year;128050.0;;Cox Communications;"{sql, python, aws, pyspark, tableau, power bi, git""}"
Machine Learning Engineer;Machine Learning Research Scientist;Pittsburgh, PA;via Ai-Jobs.net;Full-time;FALSE;Illinois, United States;13/04/2023 16:05;FALSE;TRUE;United States;year;140000.0;;Bosch Group;"{pytorch, tensorflow""}"
Data Scientist;Staff Data Scientist - Riot Data, Emerging Games;Los Angeles, CA (+1 other);via Hitmarker;Full-time;FALSE;California, United States;05/04/2023 10:03;FALSE;TRUE;United States;year;225000.0;;Riot Games;"{python, sql, scikit-learn, spark, airflow""}"
Senior Data Engineer;Senior Data Engineer;Cupertino, CA;via LinkedIn;Full-time;FALSE;New York, United States;18/04/2023 16:07;FALSE;FALSE;United States;year;160000.0;;TheoremOne;"{sql, java, scala, python, aws, spark, hadoop, kafka, airflow""}"
Data Analyst;Product Management Data Analyst - Now Hiring;Anywhere;via Snagajob;Full-time;TRUE;New York, United States;30/04/2023 11:00;TRUE;FALSE;United States;hour;;55.0;Robert Half;
Data Scientist;Data Scientist;Gaithersburg, MD;via Dice;Contractor;FALSE;New York, United States;26/04/2023 15:03;FALSE;FALSE;United States;hour;;70.0;Tri-Force Consulting Services Inc;
Data Engineer;Data Engineer;Pittsburgh, PA;via Ladders;Full-time;FALSE;Georgia;17/04/2023 07:39;FALSE;FALSE;United States;year;125000.0;;Maven Wave Partners;"{python, java, sql, aws, azure, gcp, bigquery, redshift, snowflake, spark, hadoop""}"
Senior Data Scientist;Senior Data Scientist;Anywhere;via Indeed;Full-time;TRUE;Illinois, United States;11/04/2023 19:24;FALSE;TRUE;United States;year;155000.0;;Beam;"{sql, python, r, aws, gcp, pytorch, tensorflow, scikit-learn""}"
Data Scientist;Data Scientist;Mooresville, NC;via Ladders;Full-time;FALSE;Illinois, United States;07/04/2023 07:03;FALSE;FALSE;United States;year;125000.0;;Lowe’s;"{python, java, scala, rust, sql, hadoop, spark""}"
Data Analyst;Data Analyst;Washington, DC;via Dice;Full-time;FALSE;New York, United States;19/04/2023 00:00;TRUE;FALSE;United States;year;85000.0;;Robert Half;"{go, flow""}"
Data Analyst;Data Analyst;Austin, TX;via Dice;Contractor;FALSE;Texas, United States;27/04/2023 17:01;TRUE;FALSE;United States;hour;;62.5;CA-One Tech Cloud Inc.;"{python, sql, azure, databricks""}"
Data Scientist;Data Scientist - Payments;San Francisco, CA;via Ladders;Full-time;FALSE;California, United States;25/04/2023 09:03;FALSE;FALSE;United States;year;100000.0;;Rippling;"{c""}"
Data Analyst;Financial Data Analyst;Lake Geneva, WI;via ZipRecruiter;;FALSE;Illinois, United States;07/04/2023 16:01;TRUE;FALSE;United States;hour;;50.0;Robert Half;"{crystal""}"
Data Engineer;Principal Data Engineer;Plantation, FL;via Ladders;Full-time;FALSE;Texas, United States;17/04/2023 09:07;FALSE;TRUE;United States;year;175000.0;;Oncology Analytics;"{sql, nosql, python, databricks, azure, spark""}"
Data Scientist;Duke Energy -Jr. Data  Scientist-$120k/YR;Charlotte, NC;via LinkedIn;Full-time;FALSE;Georgia;05/04/2023 19:35;FALSE;FALSE;United States;year;120000.0;;Lorien;"{sas, sas, sql, python, aws, power bi, jira""}"
Senior Data Scientist;(Senior) Data Scientist (m/f/d);Lisbon, Portugal;via Ai-Jobs.net;Full-time;FALSE;Portugal;19/04/2023 20:26;FALSE;FALSE;Portugal;year;157500.0;;SIXT;"{python, r, sql, flow""}"
Data Engineer;Data Engineer;Seattle, WA;via LinkedIn;Full-time;FALSE;Florida, United States;21/04/2023 13:30;FALSE;TRUE;United States;hour;;66.0;Planet Technology;"{python, sql, aws""}"
Data Engineer;Big Data Engineer;Boston, MA;via LinkedIn;Contractor;FALSE;Sudan;24/04/2023 17:51;FALSE;FALSE;Sudan;hour;;82.5;Harnham;"{python, scala, java, gcp, azure, spark, kafka, airflow, git, gitlab""}"
Data Analyst;Data Analyst;San Antonio, TX;via ZipRecruiter;Full-time;FALSE;Texas, United States;14/04/2023 18:01;FALSE;FALSE;United States;hour;;27.0;Tri-Starr Talent;
Senior Data Analyst;Data Senior Analyst;Los Angeles, CA;via Ladders;Full-time;FALSE;California, United States;05/04/2023 09:01;FALSE;FALSE;United States;year;115000.0;;City National Bank (CNB);"{flow""}"
Data Engineer;Data Engineer;Anywhere;via LinkedIn;Full-time;TRUE;New York, United States;17/04/2023 22:05;FALSE;FALSE;United States;year;175000.0;;Stealth Startup;"{python, redshift, airflow, spark""}"
