job_title_short;job_title;job_location;job_via;job_schedule_type;job_work_from_home;search_location;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;company_name;job_skills
Data Engineer;Mid to Senior Level Data Engineer--Consulting Services--Mainly...;Colorado;via LinkedIn;Full-time;FALSE;Texas, United States;17/12/2023 13:06;FALSE;FALSE;United States;year;112500.0;0;EMW Staffing Solutions LLC;['nosql', 'sql', 'sql server', 'mysql', 'oracle', 'redshift', 'snowflake', 'azure', 'bigquery', 'aws', 'excel', 'power bi', 'tableau']
Senior Data Engineer;Senior Data Engineer (Hybrid);Annapolis, MD;via SaluteMyJob;Full-time and Part-time;FALSE;Illinois, United States;19/12/2023 07:09;FALSE;TRUE;United States;year;173500.0;0;Capital One;['scala', 'nosql', 'python', 'sql', 'java', 'mongo', 'shell', 'mysql', 'cassandra', 'aws', 'azure', 'redshift', 'snowflake', 'hadoop', 'spark', 'kafka', 'angular']
Data Analyst;Data Analyst;York, PA;via JobAffairs4u.com;Full-time and Part-time;FALSE;New York, United States;17/12/2023 11:00;FALSE;FALSE;United States;hour;0;15.0;Jobs Near Me;['sql', 'javascript', 'sas', 'sas', 'excel', 'spss']
Data Engineer;Founding Data Engineer;New York, NY;via Y Combinator;Full-time;FALSE;Florida, United States;26/12/2023 20:07;TRUE;FALSE;United States;year;170000.0;0;Confido;['go', 'python', 'aws', 'node.js', 'flow']
Data Scientist;Data scientist to polish projects and build portfolio. - Contract...;Anywhere;via Upwork;Contractor and Temp work;TRUE;Texas, United States;07/12/2023 21:05;FALSE;FALSE;United States;hour;0;31.5;Upwork;
Data Scientist;Data Scientist Needed to build a reccomendation system;Anywhere;via Upwork;Contractor and Temp work;TRUE;Illinois, United States;29/12/2023 13:02;FALSE;FALSE;United States;hour;0;85.0;Upwork;['python', 'r', 'scala', 'tensorflow', 'pytorch', 'scikit-learn', 'pandas', 'numpy']
Data Scientist;Data Scientist 3;Annapolis Junction, MD;via Snagajob;Full-time and Part-time;FALSE;New York, United States;10/12/2023 07:01;FALSE;FALSE;United States;hour;0;4473500061035150;iNovex Information Systems;
Data Analyst;Data Analyst;Orlando, FL;via BeBee;Full-time;FALSE;Florida, United States;13/12/2023 09:02;FALSE;TRUE;United States;year;100000.0;0;Siemens Energy;
Data Engineer;Data Engineer;Raleigh, NC;via Snagajob;Full-time and Part-time;FALSE;Florida, United States;29/12/2023 07:08;FALSE;FALSE;United States;hour;0;44.75;Presidio, Inc.;['nosql', 'sql', 'python', 'c', 'aws', 'azure', 'gcp', 'spark', 'airflow', 'tableau', 'git', 'terraform', 'docker', 'kubernetes']
Data Engineer;Data Engineer, Lead - Now Hiring;Arlington, VA;via Snagajob;Full-time and Part-time;FALSE;Sudan;02/12/2023 06:47;FALSE;TRUE;Sudan;hour;0;6115999603271480;Booz Allen Hamilton;['python', 'sql', 'scala', 'java', 'nosql', 'mongodb', 'mongodb', 'shell', 'cassandra', 'mysql', 'aws', 'azure', 'databricks', 'redshift', 'snowflake', 'spark', 'airflow', 'hadoop', 'kafka', 'unix', 'linux']
Data Engineer;Data Engineer;Portland, OR;via LinkedIn;Full-time;FALSE;Sudan;05/12/2023 02:41;FALSE;TRUE;Sudan;year;102500.0;0;Robert Half;['sql', 'go', 'sql server', 'oracle', 'snowflake', 'azure', 'tableau', 'power bi']
Data Scientist;Data Scientist in Programmatic Advertising - Contract to Hire;Anywhere;via Upwork;Contractor and Temp work;TRUE;Illinois, United States;15/12/2023 18:03;FALSE;FALSE;United States;hour;0;42.5;Upwork;['python', 'java', 'scala', 'aws', 'azure', 'gcp', 'spark', 'hadoop']
Data Analyst;Marketing Data Analyst;Plano, TX;via BeBee;Full-time;FALSE;Texas, United States;13/12/2023 09:02;FALSE;FALSE;United States;year;70000.0;0;Bank of America Corporation;['sas', 'sas', 'python', 'spark', 'microstrategy', 'excel', 'tableau']
Data Scientist;Data Science Lead;Cyprus;via Ai-Jobs.net;Full-time;FALSE;Cyprus;31/12/2023 02:29;FALSE;FALSE;Cyprus;year;191000.0;0;Palta;['python']
Data Scientist;Research Analyst (Data Scientist II) - Now Hiring;Anywhere;via Snagajob;Full-time and Part-time;TRUE;Georgia;07/12/2023 19:04;FALSE;FALSE;United States;hour;0;4762000274658200;CNA Corporation;
Data Analyst;Data Analyst;Waco, TX;via BeBee;Full-time;FALSE;Texas, United States;21/12/2023 11:01;FALSE;FALSE;United States;year;65000.0;0;Glazer's Beer and Beverage of TX, LLC;['c', 'word', 'excel', 'outlook']
Data Engineer;Health Data Engineer;Bethesda, MD;via Snagajob;Full-time and Part-time;FALSE;Illinois, United States;02/12/2023 07:21;FALSE;TRUE;United States;hour;0;6115999603271480;Booz Allen Hamilton;['c++', 'java', 'python', 'sql', 'scala', 'shell', 'mysql', 'aws', 'azure', 'databricks', 'redshift', 'snowflake', 'spark', 'hadoop', 'kafka', 'unix', 'linux']
Data Engineer;Data Engineer - Now Hiring;Harahan, LA;via Snagajob;Full-time and Part-time;FALSE;Texas, United States;20/12/2023 07:06;FALSE;FALSE;United States;hour;0;4655000305175780;Intralox;['sql', 'nosql', 'python', 'java', 'c++', 'scala', 'azure', 'oracle', 'hadoop', 'spark', 'kafka', 'power bi']
Senior Data Engineer;Senior Data Engineer, Enabling Functions Data Product Enablement;India;via Ai-Jobs.net;Full-time;FALSE;India;28/12/2023 08:32;TRUE;FALSE;India;year;153500.0;0;Bristol Myers Squibb;['excel']
Data Engineer;Data Engineer/AI Expert For Marketing Agency - Contract to Hire;Anywhere;via Upwork;Full-time, Contractor, and Temp work;TRUE;Georgia;31/12/2023 16:32;FALSE;FALSE;United States;hour;0;25.0;Upwork;
Data Engineer;Data Analyst/Data Engineer;Atlanta, GA;via LinkedIn;Full-time;FALSE;Georgia;29/12/2023 10:21;FALSE;TRUE;United States;year;72500.0;0;Jobot;['powershell', 'sql', 'sql server', 'azure']
Data Engineer;Azure Data Engineer;Bellevue, WA;via LinkedIn;Full-time;FALSE;Illinois, United States;13/12/2023 22:10;FALSE;TRUE;United States;year;86611.0;0;Infosys;['sql', 'azure']
Senior Data Engineer;Data SRE, Ads Data - USDS;Seattle, WA;via LinkedIn;Full-time;FALSE;Florida, United States;31/12/2023 13:03;TRUE;TRUE;United States;year;165186.0;0;TikTok;['java', 'go', 'python', 'redis', 'elasticsearch', 'kafka', 'hadoop', 'express']
Data Engineer;Data Engineer - Now Hiring;Woburn, MA;via Snagajob;Full-time and Part-time;FALSE;Georgia;29/12/2023 07:21;FALSE;FALSE;United States;hour;0;5647500228881830;Presidio, Inc.;['nosql', 'sql', 'python', 'c', 'aws', 'azure', 'gcp', 'spark', 'airflow', 'tableau', 'git', 'terraform', 'docker', 'kubernetes']
Data Scientist;Data Scientist;Dallas, TX;via LinkedIn;Contractor;FALSE;Sudan;14/12/2023 15:35;FALSE;FALSE;Sudan;hour;0;77.5;Net2Source Inc.;
Data Engineer;Data Engineer, Data Platform - US Tech Services Team;Seattle, WA;via LinkedIn;Full-time;FALSE;Illinois, United States;19/12/2023 15:10;FALSE;TRUE;United States;year;259711.0;0;TikTok;['hadoop', 'spark', 'kafka', 'express']
Senior Data Engineer;Senior Data Engineer (Python / AWS);Matthews, NC;via LinkedIn;Full-time;FALSE;Georgia;07/12/2023 11:04;FALSE;TRUE;United States;year;150000.0;0;Jobot;['python', 'aws', 'aurora']
Data Engineer;Azure Data Engineer - ETL Developer;Atlanta, GA;via LinkedIn;Contractor;FALSE;Texas, United States;06/12/2023 21:05;TRUE;TRUE;United States;hour;0;65.0;Akkodis;['sql', 'python', 'scala', 'r', 'go', 'sql server', 'mysql', 'azure', 'oracle', 'windows', 'ssis', 'dax']
Data Engineer;Data (Power BI) Engineer;Carmichael, CA;via Ladders;Full-time;FALSE;Texas, United States;30/12/2023 09:03;FALSE;TRUE;United States;year;100000.0;0;E2 Consulting Engineers, Inc;['sql', 'snowflake', 'power bi', 'dax', 'sharepoint']
Data Scientist;Staff Data Scientist, Machine Learning - Now Hiring;Anywhere;via Snagajob;Full-time and Part-time;TRUE;Texas, United States;20/12/2023 07:02;FALSE;TRUE;United States;hour;0;3979500198364250;Social Finance (SoFi);['python', 'sql', 'nosql']
Senior Data Engineer;Senior Data Engineer - Now Hiring;Augusta, ME;via Snagajob;Full-time and Part-time;FALSE;California, United States;24/12/2023 19:03;FALSE;FALSE;United States;hour;0;5375499725341790;Pluralsight, LLC;['sql', 'python', 'bash', 'scala', 'snowflake', 'databricks', 'kafka', 'gitlab', 'github', 'unify']
Data Engineer;Data Engineer - Now Hiring;McLean, VA;via Snagajob;Full-time and Part-time;FALSE;Illinois, United States;18/12/2023 04:07;FALSE;TRUE;United States;hour;0;6115999603271480;Capital One;['python', 'scala', 'shell', 'aws', 'azure', 'redshift', 'snowflake', 'spark', 'hadoop']
Data Scientist;Staff Data Scientist, Machine Learning;Jacksonville, FL;via LinkedIn;Full-time;FALSE;Georgia;28/12/2023 10:21;FALSE;TRUE;United States;year;205000.0;0;SoFi;['python', 'sql', 'nosql']
Data Engineer;Data Engineer, Product Analytics;Menlo Park, CA;via LinkedIn;Full-time;FALSE;Florida, United States;25/12/2023 12:03;FALSE;FALSE;United States;year;198500.0;0;Meta;['sql']
Data Analyst;Data Analyst III - Full-time / Part-time;Faxon, OK;via Snagajob;Full-time and Part-time;FALSE;Sudan;05/12/2023 13:40;FALSE;TRUE;Sudan;hour;0;1973500061035150;Oklahoma Complete Health;['sql', 'excel']
Data Scientist;Data Defense Developer - USDS;Mountain View, CA;via LinkedIn;Full-time;FALSE;Texas, United States;02/12/2023 13:21;FALSE;TRUE;United States;year;157500.0;0;TikTok;['go', 'python', 'java', 'mongo', 'redis', 'aws', 'pandas', 'numpy', 'kafka', 'express', 'github', 'bitbucket']
Senior Data Scientist;Senior Data Scientist;Los Angeles, CA;via LinkedIn;Full-time;FALSE;California, United States;08/12/2023 11:02;FALSE;TRUE;United States;year;175000.0;0;Jobot;['python', 'mysql', 'aws', 'azure', 'tensorflow', 'keras', 'pytorch', 'hadoop', 'spark']
Data Engineer;Data Engineer (Remote) - 27996;San Francisco, CA;via LinkedIn;Full-time;FALSE;Georgia;28/12/2023 22:21;FALSE;FALSE;United States;hour;0;95.0;Braintrust;['sql', 'visual basic', 'oracle', 'flow']
Data Analyst;Transportation Data Analyst;Long Beach, CA;via Indeed;Full-time;FALSE;California, United States;21/12/2023 19:00;FALSE;TRUE;United States;year;102500.0;0;Alameda Corridor Transportation Authority;['c', 'sql', 'python', 'r', 'spreadsheet', 'excel', 'word']
Data Engineer;Google Cloud Data Engineer;Anywhere;via Upwork;Contractor and Temp work;TRUE;New York, United States;12/12/2023 18:21;FALSE;FALSE;United States;hour;0;80.0;Upwork;['bigquery', 'gcp', 'looker', 'terraform']
Data Scientist;Data Science Team Lead;Anywhere;via Indeed;Full-time;TRUE;California, United States;05/12/2023 10:02;FALSE;FALSE;United States;year;110000.0;0;QuickMD;['python', 'azure', 'excel', 'power bi']
Data Engineer;Azure Data Engineer;Anywhere;via Upwork;Contractor and Temp work;TRUE;California, United States;11/12/2023 04:06;TRUE;FALSE;United States;hour;0;20.0;Upwork;['sql', 'python', 'sql server', 'azure', 'zoom']
Data Scientist;Data Scientist;Springfield, VA;via Indeed;Full-time and Part-time;FALSE;Georgia;11/12/2023 16:10;FALSE;FALSE;United States;year;142045.0;0;US National Geospatial-Intelligence Agency;['python', 'r', 'c', 'sap', 'tableau']
Software Engineer;Founding fullstack engineer;Anywhere;via Y Combinator;Full-time;TRUE;California, United States;10/12/2023 15:06;TRUE;FALSE;United States;year;140000.0;0;Livedocs;['typescript', 'sql', 'gcp', 'node']
Senior Data Engineer;Expert Applications Development (Sr. Data Engineer-Azure);United States;via Ai-Jobs.net;Full-time;FALSE;California, United States;16/12/2023 10:04;FALSE;FALSE;United States;year;155000.0;0;Nestlé;['python', 'scala', 'sql', 'azure', 'spark']
Data Analyst;Data Analyst Intern - Now Hiring;Milpitas, CA;via Snagajob;Full-time, Part-time, and Internship;FALSE;California, United States;31/12/2023 19:00;FALSE;TRUE;United States;hour;0;2496999931335440;KLA;['python', 'r', 'sql', 'snowflake']
Senior Data Engineer;Senior Data Engineer;Cortez, CO;via Ladders;Full-time;FALSE;Texas, United States;24/12/2023 07:06;FALSE;TRUE;United States;year;126825.0;0;Potash Corporation of Saskatchewan Inc;['python', 'sql', 'aws', 'redshift', 'spark', 'airflow', 'kafka', 'github']
Software Engineer;Senior Software Engineer - Streaming / Real time, Ads Data;Seattle, WA;via LinkedIn;Full-time;FALSE;Sudan;30/12/2023 14:28;TRUE;TRUE;Sudan;year;260775.0;0;TikTok;['go']
Data Engineer;Data Engineer - 100% remote;New York, NY;via LinkedIn;Full-time;FALSE;Illinois, United States;22/12/2023 05:08;FALSE;TRUE;United States;year;120000.0;0;Jobot;['python', 'sql', 'nosql', 'sql server', 'snowflake', 'aws', 'azure', 'redshift', 'kafka', 'github', 'gitlab', 'jira']
Senior Data Engineer;Senior Data Engineer | Freelance| Remote |;Anywhere;via LinkedIn;Part-time;TRUE;Canada;20/12/2023 21:20;TRUE;FALSE;Canada;hour;0;50.0;Staffbee Solutions INC;['sql', 'gcp', 'azure', 'aws', 'hadoop']
Data Scientist;Data Scientist (Remote) at The Elite Job, WFH Data Science Jobs in...;Anywhere;via The Elite Job;Full-time and Part-time;TRUE;Ghana;15/12/2023 23:46;FALSE;FALSE;Ghana;hour;0;25.0;The Elite Job;['python', 'r']
Software Engineer;Python engineer with timeseries data experience  - Contract to Hire;Anywhere;via Upwork;Contractor and Temp work;TRUE;New York, United States;29/12/2023 21:05;TRUE;FALSE;United States;hour;0;30.0;Upwork;['python', 'bigquery', 'pandas', 'numpy', 'fastapi', 'flask', 'django', 'terraform']
Senior Data Scientist;Senior Data Scientist, Marketing Analytics;Los Angeles, CA;via LinkedIn;Full-time;FALSE;California, United States;04/12/2023 16:02;FALSE;TRUE;United States;year;172118.5;0;TikTok;
Business Analyst;AU Core Assessment Analyst;Washington, DC;via Arlington Job Board;Full-time;FALSE;New York, United States;26/12/2023 08:00;FALSE;FALSE;United States;year;55500.0;0;American University;
Data Analyst;Data Analyst;Boston, GA;via Adzuna;Full-time;FALSE;Georgia;23/12/2023 12:40;FALSE;FALSE;United States;hour;0;32.5;knightsbridgesolutions;['python', 'r', 'sql']
Data Scientist;Data Scientist - Tiktok e-commerce;San Jose, CA;via LinkedIn;Full-time;FALSE;California, United States;08/12/2023 15:02;FALSE;TRUE;United States;year;222093.5;0;TikTok;['sql', 'python', 'r', 'tableau']
Data Scientist;Data Scientist II - Language Modeling and AI;Lone Jack, MO;via Snagajob;Full-time and Part-time;FALSE;Illinois, United States;27/12/2023 12:03;FALSE;TRUE;United States;hour;0;32.5;EDWARD JONES;['python', 'r', 'scala', 'tensorflow', 'pytorch']
