job_title_short;job_title;job_location;job_via;job_schedule_type;job_work_from_home;search_location;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;company_name;job_skills
Senior Data Analyst;Supervisory Information Technology Specialist (Associate Director...;Alexandria, VA;via ZipRecruiter;Full-time;FALSE;New York, United States;05/07/2023 07:03;TRUE;FALSE;United States;year;156000.0;0;National Technical Information Service;
Data Engineer;Data Engineer;Anywhere;via LinkedIn;Contractor;TRUE;California, United States;14/07/2023 14:07;FALSE;FALSE;United States;hour;0;42.5;Gravity IT Resources;['sql', 'sql server']
Data Scientist;Marketing Data Scientist;;via LinkedIn;Contractor;FALSE;New York, United States;20/07/2023 21:03;FALSE;FALSE;United States;year;125000.0;0;Harnham;['sql', 'r', 'python']
Senior Data Engineer;Senior Data Engineer;Antioch, IL;via Ladders;Full-time;FALSE;Illinois, United States;04/07/2023 06:08;FALSE;FALSE;United States;year;125000.0;0;AbbVie;['sql', 'python', 'sas', 'sas', 'r', 'oracle', 'aws', 'spark', 'airflow']
Senior Data Engineer;Senior Data Engineer;Jacksonville, FL;via LinkedIn;Contractor;FALSE;Sudan;22/07/2023 02:02;FALSE;TRUE;Sudan;year;92000.0;0;Interactive Resources - iR;['sql', 'linux']
Data Engineer;Data Engineer Analytics - W2;Hartford, CT;via ZipRecruiter;Contractor;FALSE;New York, United States;26/07/2023 18:06;FALSE;FALSE;United States;hour;0;70.0;Sunrise Systems Inc;['sql']
Data Analyst;Escrow Data Analyst;Ocala, FL;via ZipRecruiter;Full-time;FALSE;Florida, United States;10/07/2023 19:02;TRUE;FALSE;United States;hour;0;18.5;Essex Mortgage;['word', 'excel', 'powerpoint']
Business Analyst;Business Analyst;Anywhere;via ZipRecruiter;Full-time;TRUE;Georgia;28/07/2023 12:37;FALSE;FALSE;United States;hour;0;41.0;9992;['sql', 'sas', 'sas', 'sql server', 'word', 'excel', 'webex']
Senior Data Scientist;Senior Data Scientist (f/m/d) Spain;Barcelona, Spain;via Ai-Jobs.net;Full-time;FALSE;Spain;26/07/2023 23:46;FALSE;FALSE;Spain;year;157500.0;0;SIGNA Sports United;['python', 'sql', 'aws']
Data Engineer;Data Engineer;Willow Grove, PA;via LinkedIn;Full-time;FALSE;California, United States;18/07/2023 21:07;FALSE;FALSE;United States;year;75000.0;0;Kane Partners LLC;['python', 'sql', 'azure']
Data Analyst;Data Analyst - Operations - Onboarding and Subscription Management;Chennai, Tamil Nadu, India;via Ai-Jobs.net;Full-time;FALSE;India;20/07/2023 18:12;FALSE;FALSE;India;year;111175.0;0;Arcadia;['sql', 'electron', 'excel', 'powerpoint', 'word']
Data Scientist;Data Scientist (Healthcare);Nea Smyrni, Greece;via Ai-Jobs.net;Full-time;FALSE;Greece;06/07/2023 21:22;FALSE;FALSE;Greece;year;90670.0;0;WINGS-ICT-SOLUTIONS;['python', 'pytorch', 'tensorflow']
Data Engineer;Linux/Data Engineer;Fort Meade, MD;via LinkedIn;Full-time;FALSE;Illinois, United States;07/07/2023 01:08;FALSE;TRUE;United States;year;129500.0;0;VSolvit;['java', 'linux', 'flow', 'docker', 'kubernetes']
Senior Data Analyst;[Job-10949] Senior Data Architect, Brasil;Brazil;via Ai-Jobs.net;Full-time;FALSE;Brazil;18/07/2023 09:43;TRUE;FALSE;Brazil;year;165000.0;0;CI&T;['sql', 'no-sql', 'mongodb', 'mongodb', 'mysql', 'neo4j', 'cassandra', 'snowflake', 'redshift', 'bigquery', 'databricks', 'aws', 'spark']
Senior Data Analyst;DBI - Sr. Data Science Analyst (Non-Civil Service);Dallas, TX;via Indeed;Full-time;FALSE;Sudan;10/07/2023 20:59;FALSE;TRUE;Sudan;year;78841.0;0;City of Dallas, TX;['matlab', 'keras', 'tensorflow', 'pytorch', 'tableau', 'spss']
