job_title_short;job_title;job_location;job_via;job_schedule_type;job_work_from_home;search_location;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;company_name;job_skills
Data Engineer;Data Engineer;Cupertino, CA;via Ladders;Full-time;FALSE;California, United States;10/06/2023 09:04;FALSE;TRUE;United States;year;115000.0;0;Volt Technical Resources;['python', 'sql', 'aws']
Data Analyst;HR Data Risk & Control Analyst (Hybrid);Irving, TX;via Ladders;Full-time;FALSE;Texas, United States;19/06/2023 08:01;FALSE;FALSE;United States;year;125000.0;0;Citigroup, Inc;
Senior Data Engineer;Senior Data Engineer (Remote, Publishing);Anywhere;via Motion Recruitment;Full-time;TRUE;California, United States;24/06/2023 07:08;FALSE;TRUE;United States;year;147500.0;0;Motion Recruitment;['python', 'sql', 'aws']
Data Engineer;Data Engineer;Malvern, PA;via LinkedIn;Contractor;FALSE;New York, United States;26/06/2023 15:05;FALSE;FALSE;United States;hour;0;550;Insight Global;['go', 'python', 'sql', 'aws', 'pyspark']
Data Engineer;Data Engineer;Falls Church, VA;via Ladders;Full-time;FALSE;New York, United States;24/06/2023 10:07;FALSE;TRUE;United States;year;115000.0;0;Northrop Grumman;['sql', 'python', 'r', 'java', 'sql server', 'azure', 'aws', 'alteryx', 'ssis', 'tableau']
Data Engineer;Data Engineering Manager;Rijeka, Croatia;via Ai-Jobs.net;Full-time;FALSE;Croatia;15/06/2023 14:58;FALSE;FALSE;Croatia;year;134241.0;0;iOLAP;['python', 'sql', 'aws']
Data Engineer;Azure Data Engineer;Anywhere;via LinkedIn;Contractor;TRUE;California, United States;12/06/2023 17:26;FALSE;FALSE;United States;hour;0;550;Vertisystem;['python', 'sql', 'powershell', 'bash', 'azure', 'databricks', 'pandas', 'github']
Data Scientist;Lead Data Scientist;Homestead, PA;via Ladders;Full-time;FALSE;Georgia;26/06/2023 11:56;FALSE;FALSE;United States;year;90000.0;0;Highmark;['python', 'sql', 'r', 'bigquery', 'flow']
Software Engineer;Graduate Power BI Developer;Mumbai, Maharashtra, India;via Ai-Jobs.net;Full-time;FALSE;India;17/06/2023 10:09;FALSE;FALSE;India;year;50400.0;0;YouGov;['sql', 'power bi', 'excel']
Data Engineer;Data Engineer;Baltimore, MD;via Adzuna;Full-time;FALSE;Florida, United States;27/06/2023 19:31;FALSE;TRUE;United States;year;58926.0;0;Capital One;['scala', 'nosql', 'python', 'java', 'elasticsearch', 'cassandra', 'aws', 'azure', 'redshift', 'snowflake', 'hadoop', 'spark', 'airflow', 'kafka', 'angular']
Data Engineer;Sr. Data Engineer;Reston, VA;via Ladders;Full-time;FALSE;California, United States;26/06/2023 07:06;FALSE;TRUE;United States;year;90000.0;0;Resonate;['scala', 'java', 'sql', 'aws', 'kafka', 'splunk']
Data Analyst;Sr.Data Analyst;Dallas, TX;via Ladders;Full-time;FALSE;Texas, United States;29/06/2023 07:01;FALSE;FALSE;United States;year;90000.0;0;Vanguard Group;
Data Engineer;Sr. Data Engineer;Hartford, CT;via Ladders;Full-time;FALSE;Illinois, United States;01/06/2023 09:34;FALSE;FALSE;United States;year;150000.0;0;The Hartford Financial Services Group, Inc;['sql', 'r', 'oracle', 'snowflake', 'aws']
Data Engineer;Sr. Data Engineer;McKinney, TX;via Indeed;Full-time;FALSE;Texas, United States;06/06/2023 08:07;TRUE;FALSE;United States;year;145000.0;0;CyberCoders;['nosql', 'databricks', 'spark']
Senior Data Engineer;Senior Data Engineer;Texas;via LinkedIn;Contractor;FALSE;New York, United States;05/06/2023 13:08;FALSE;FALSE;United States;hour;0;850;InterEx Group;['python', 'sql', 'postgresql', 'mysql', 'aws', 'redshift', 'snowflake', 'spark', 'docker', 'kubernetes']
Data Engineer;Data Engineer;Wilmington, MA;via Dice;Contractor;FALSE;Illinois, United States;27/06/2023 18:30;FALSE;FALSE;United States;hour;0;550;Unique System Skills LLC;['c#', 'sql', 'linux', 'docker', 'kubernetes']
Data Scientist;Data Scientist (Lending);South Jakarta, South Jakarta City, Jakarta, Indonesia;via Ai-Jobs.net;Full-time;FALSE;Indonesia;22/06/2023 20:24;FALSE;FALSE;Indonesia;year;90670.0;0;Moladin;['sql', 'python']
Data Engineer;Data Engineer;Anywhere;via JobScore;Full-time;TRUE;Jamaica;12/06/2023 17:38;TRUE;FALSE;Jamaica;hour;0;800;Braintrust;['python', 'sql', 'java', 'c#', 'sql server', 'db2', 'oracle', 'snowflake', 'spark', 'airflow', 'unix']
Data Analyst;Data Analyst II;New York, NY;via TEKsystems Careers;Contractor;FALSE;New York, United States;09/06/2023 14:59;TRUE;FALSE;United States;hour;0;740;TEKsystems;['python', 'sql', 'tableau', 'power bi']
Data Scientist;Data Scientist- Sales Optimization;Anywhere;via LinkedIn;Contractor;TRUE;Sudan;06/06/2023 14:40;FALSE;TRUE;Sudan;hour;0;560;Burtch Works;['python', 'sql']
