job_title_short;job_via;job_schedule_type;job_work_from_home;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;job_skills;job_location;company_name;job_title;search_location
Data Engineer;via LinkedIn;Contractor;FALSE;02/05/2023 20:11;FALSE;TRUE;United States;hour;0;425;{sql, visual basic, python, aurora, snowflake, power bi};Mossville, IL;Aditi Consulting;Data Engineer;Texas, United States
Data Analyst;via ZipRecruiter;Full-time;TRUE;08/05/2023 21:39;FALSE;TRUE;United States;hour;0;482100;{sql, power bi, excel};Anywhere;SGA Inc.;Sr. Data Analyst (Healthcare Reporting/Data Analytics)- REMOTE;Georgia
Senior Data Engineer;via Dice.com;Contractor;FALSE;06/05/2023 12:12;TRUE;FALSE;Sudan;hour;0;650;{sql, sql server, azure, databricks, pyspark, ssis};Charleston, SC;JConnect Inc;Sr.Azure Data Engineer;Sudan
Data Engineer;via Indeed;Contractor;TRUE;24/05/2023 18:05;TRUE;FALSE;United States;hour;0;650;{python, sql, azure, databricks, spark, power bi};Anywhere;Leadstack Inc;Data Engineer;California, United States
Senior Data Scientist;via LinkedIn;Full-time;FALSE;16/05/2023 21:02;FALSE;TRUE;United States;year;1700000;0;{python, sql};Washington, DC;Harnham;Senior Data Scientist;New York, United States
Data Analyst;via ZipRecruiter;Part-time;FALSE;09/05/2023 09:11;FALSE;FALSE;United States;hour;0;80;{sas, sas, python, word, spreadsheet, tableau, excel};Dallas, TX;UNT System;Student Worker/Intern - Data Analysis;Texas, United States
Data Scientist;via Ai-Jobs.net;Full-time;FALSE;24/05/2023 06:09;FALSE;FALSE;India;year;792000;0;{scala, python, sql, databricks, spark, excel, unify};Bengaluru, Karnataka, India;Databricks;Staff Data Scientist;India
Data Scientist;via LinkedIn;Contractor;FALSE;26/05/2023 00:03;FALSE;TRUE;United States;year;1350000;0;{sql};Greenwood Village, CO;Ascendion;Data Scientist;Texas, United States
Senior Data Analyst;via LinkedIn;Full-time;FALSE;04/05/2023 14:01;TRUE;TRUE;United States;year;1500000;0;{sql, r, python, tableau};Austin, TX;TheoremOne;Senior Data Analyst;Texas, United States
Data Scientist;via LinkedIn;Full-time;TRUE;26/05/2023 22:04;FALSE;TRUE;United States;year;3240000;0;;Anywhere;Demandbase;Head of Data Science;Texas, United States
Data Engineer;via WDHN Jobs;Full-time;FALSE;10/05/2023 10:09;TRUE;FALSE;United States;year;1150000;0;{sql, mongodb, mongodb, azure};St Paul, MN;Ledgent Technology;Data Engineer (JO-01);California, United States
Senior Data Analyst;via Ladders;Full-time;FALSE;06/05/2023 12:03;FALSE;FALSE;United States;year;1250000;0;{python, snowflake};Irving, TX;Caterpillar, Inc;Senior IT Analyst (Data Scientist);Texas, United States
Data Analyst;via WJHL Jobs;Full-time;FALSE;11/05/2023 21:01;FALSE;TRUE;United States;year;740500;0;{sql, python, r, excel};Lake View Terrace, CA;Health Net;Data Analyst II (Healthcare Analytics);California, United States
Data Engineer;via Indeed;Full-time;TRUE;31/05/2023 21:07;FALSE;TRUE;United States;hour;0;700;{sql, snowflake, jira};Anywhere;Insight Global;Sr. Data Engineer;California, United States
Data Engineer;via Ladders;Full-time;FALSE;26/05/2023 11:09;FALSE;FALSE;United States;year;900000;0;{python, java, javascript, c++, scala, sql, nosql, dynamodb, cassandra, aws, snowflake, azure, jenkins};Chicago, IL;Caterpillar, Inc;Data Engineer, Cat Digital;Illinois, United States
Software Engineer;via LinkedIn;Contractor;TRUE;05/05/2023 00:08;FALSE;FALSE;United States;hour;0;500;;Anywhere;Harnham;Sr. Software Engineer /Data Engineer;New York, United States
Senior Data Scientist;via Dice.com;Full-time;FALSE;02/05/2023 15:03;FALSE;FALSE;United States;year;1400000;0;{r, sas, sas, matlab, sql, vba, java, python, php, sql server, oracle, aws, azure, hadoop, spss, sap, excel, alteryx};Detroit, MI;The Talent Advantage Group;Senior Data Scientist;New York, United States
Senior Data Engineer;via Ai-Jobs.net;Full-time;FALSE;11/05/2023 02:26;TRUE;FALSE;Germany;year;967730;0;{sql, c#, java, python, sql server, azure, ssis};Frankfurt, Germany;Wunderman Thompson Commerce;Senior Data Engineer;Germany
Data Scientist;via ZipRecruiter;Full-time;FALSE;02/05/2023 07:06;FALSE;FALSE;United States;year;887910;0;;Wichita, KS;US Department of Transportation;Data Scientist;Illinois, United States
Data Analyst;via Ai-Jobs.net;Full-time;FALSE;30/05/2023 18:12;FALSE;FALSE;Hong Kong;year;575000;0;{sql, python, vba};Hong Kong;Qontigo;Financial Market Data Analyst;Hong Kong
Senior Data Engineer;via Hitmarker;Full-time;FALSE;11/05/2023 07:39;TRUE;TRUE;United States;year;1438770;0;{sql, html, javascript, python, c#, shell, powershell, r, scala, mysql, couchbase, bigquery, oracle, gcp, databricks, kafka, hadoop, looker, power bi, tableau, qlik, github};Santa Monica, CA;Activision;Senior Data Engineer, Data Protection & Privacy;Georgia
Data Engineer;via Snagajob;Full-time;FALSE;17/05/2023 22:55;FALSE;TRUE;United States;hour;0;675;{sql, r, python, aws, spark, hadoop, flow};Cupertino, CA;Innova Solutions;Data Engineer I - Now Hiring;Georgia
Data Scientist;via Ai-Jobs.net;Full-time;FALSE;03/05/2023 21:01;FALSE;FALSE;United States;year;2120000;0;{python, kafka};Menlo Park, CA;Robinhood;Data Science Manager, Crypto;California, United States
