job_title_short;job_title;job_location;job_via;job_schedule_type;job_work_from_home;search_location;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;company_name;job_skills
Senior Data Scientist;Senior Data Scientist;Jacksonville, FL;via LinkedIn;Full-time;FALSE;Florida, United States;03/11/2023 18:04;FALSE;TRUE;United States;year;170000.0;0;SoFi;['sql', 'python', 'excel', 'tableau']
Senior Data Engineer;Senior Data Engineer, TikTok Multimedia;Seattle, WA;via LinkedIn;Full-time;FALSE;Sudan;19/11/2023 13:40;FALSE;TRUE;Sudan;year;260775.0;0;TikTok;['sql', 'python', 'go', 'c++', 'hadoop', 'spark']
Data Engineer;Data Engineer - Clearance Required - Now Hiring;Tysons, VA;via Snagajob;Full-time and Part-time;FALSE;California, United States;05/11/2023 19:04;FALSE;FALSE;United States;hour;0;6115999603271480;LMI Consulting, LLC;['python', 'redis', 'cassandra', 'aws', 'kafka', 'hadoop', 'spark', 'kubernetes']
Data Engineer;Data Engineer, Data & Insights - USDS;Seattle, WA;via LinkedIn;Full-time;FALSE;Georgia;29/11/2023 13:41;FALSE;TRUE;United States;year;182500.0;0;TikTok;['swift', 'java', 'sql', 'nosql', 'cassandra', 'kafka', 'gdpr', 'express', 'flow']
Senior Data Scientist;Senior Data Scientist - Clearance Required - Now Hiring;Tysons, VA;via Snagajob;Full-time and Part-time;FALSE;Georgia;02/11/2023 18:42;FALSE;FALSE;United States;hour;0;4762000274658200;LMI Consulting, LLC;['python', 'java', 'r', 'matlab', 'sql', 'databricks', 'spark', 'pyspark', 'scikit-learn', 'qlik']
Senior Data Engineer;Senior Data Engineer (Hybrid);Harrisonburg, VA;via SaluteMyJob;Full-time and Part-time;FALSE;New York, United States;20/11/2023 09:05;FALSE;TRUE;United States;year;173500.0;0;Capital One;['scala', 'nosql', 'python', 'sql', 'java', 'mongo', 'shell', 'mysql', 'cassandra', 'aws', 'azure', 'redshift', 'snowflake', 'hadoop', 'spark', 'kafka', 'angular']
Data Engineer;(Senior) Analytics Engineer / Data Engineer (all genders);Göppingen, Germany;via Ai-Jobs.net;Full-time;FALSE;Germany;01/11/2023 19:10;FALSE;FALSE;Germany;year;163500.0;0;TeamViewer;['sql', 'go', 'git']
Data Scientist;Data Scientist;Indianapolis, IN;via Indeed;Contractor;FALSE;Illinois, United States;13/11/2023 14:04;FALSE;FALSE;United States;hour;0;39.0;Hanker Solutions Pvt.Ltd;['oracle']
Data Engineer;Lead Data Engineer - Now Hiring;Morristown, NJ;via Snagajob;Full-time and Part-time;FALSE;Florida, United States;12/11/2023 07:06;TRUE;TRUE;United States;hour;0;5442000198364250;Zelis Healthcare, LLC;['python', 'sql', 't-sql', 'sql server', 'snowflake', 'azure', 'git', 'jira', 'confluence']
Data Engineer;Data Engineer;New York, NY;via LinkedIn;Full-time;FALSE;Illinois, United States;09/11/2023 09:08;FALSE;FALSE;United States;year;145000.0;0;People Source Consulting;['python', 'scala', 'java', 'sql', 'nosql', 'hadoop', 'spark']
Data Scientist;Want to be Data Scientist;Atlanta, GA;via Indeed;Full-time;FALSE;Georgia;30/11/2023 16:55;FALSE;TRUE;United States;hour;0;36.5;Tech Consulting;['python', 'java', 'r', 'sql', 'pandas', 'numpy', 'matplotlib', 'seaborn', 'tableau', 'power bi']
Data Engineer;Data Engineer;Ipswich, MA;via Snagajob;Full-time and Part-time;FALSE;Florida, United States;05/11/2023 19:07;FALSE;FALSE;United States;hour;0;5647500228881830;New England Biolabs;['sql', 'java', 'c#', 'python', 'sql server', 'databricks', 'azure', 'aws', 'sap']
Senior Data Scientist;Senior Data Scientist, Customer Modeling - Now Hiring;Miami, FL;via Snagajob;Full-time and Part-time;FALSE;Georgia;05/11/2023 19:13;FALSE;FALSE;United States;hour;0;4009999847412100;Lennar Corporation;['python', 'sql']
Senior Data Analyst;Sr Business Data Analyst - Now Hiring;Westwood, MA;via Snagajob;Full-time and Part-time;FALSE;New York, United States;06/11/2023 02:00;FALSE;FALSE;United States;hour;0;2743500137329100;Citizens;['sas', 'sas', 'sql', 'oracle', 'redshift', 'windows', 'tableau']
Data Scientist;Analytics Engineer;Houston, TX;via LinkedIn;Full-time;FALSE;New York, United States;16/11/2023 11:05;FALSE;TRUE;United States;year;135000.0;0;Jobot;
Senior Data Scientist;Senior Data Scientist;Syracuse, NY;via LinkedIn;Full-time;FALSE;New York, United States;22/11/2023 21:03;FALSE;FALSE;United States;year;95500.0;0;hackajob;['r', 'python', 'sql', 'excel']
Data Analyst;Data Analyst - Employee Listening (I/O psychology) - Now Hiring;Commerce, TX;via Snagajob;Full-time;FALSE;Texas, United States;17/11/2023 19:01;FALSE;TRUE;United States;hour;0;1651000022888180;Maximus;['excel']
Data Engineer;Lead Data Engineer;;via LinkedIn;Full-time;FALSE;New York, United States;26/11/2023 17:01;TRUE;FALSE;United States;year;212500.0;0;Parker B Associates;['python', 'sql', 'azure', 'spark']
Data Engineer;Lead Data Engineer;York, PA;via SaluteMyJob;Full-time and Part-time;FALSE;California, United States;27/11/2023 11:10;FALSE;TRUE;United States;year;211000.0;0;Capital One;['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'dynamodb', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'databricks', 'hadoop', 'kafka', 'spark']
Machine Learning Engineer;Principal Machine Learning Engineer;Anywhere;via LinkedIn;Full-time;TRUE;Sudan;24/11/2023 14:25;FALSE;FALSE;Sudan;year;325000.0;0;Storm5;['python', 'java', 'sql', 'aws', 'gcp', 'airflow', 'spark', 'docker', 'kubernetes']
Data Scientist;Data Science Internship - Boston, MA - Now Hiring;Boston, MA;via Snagajob;Full-time, Part-time, and Internship;FALSE;New York, United States;08/11/2023 19:23;FALSE;TRUE;United States;hour;0;4605000305175780;Vectra;['python']
Data Scientist;AI Engineer / Data Scientist - Entry to Expert Level (Maryland...;Aurora, CO;via Snagajob;Full-time and Part-time;FALSE;Texas, United States;22/11/2023 07:04;FALSE;FALSE;United States;hour;0;4306999969482420;National Security Agency;
