job_title_short;job_title;job_location;job_via;job_schedule_type;job_work_from_home;search_location;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;company_name;job_skills
Data Scientist;Data Scientist, AWS;Irving, TX;via Snagajob;Full-time and Part-time;FALSE;Texas, United States;15/10/2023 06:02;FALSE;FALSE;United States;hour;0;3979500198364250;Presidio, Inc.;['python', 'r', 'sql', 'c', 'aws', 'gcp', 'bigquery', 'hadoop', 'scikit-learn', 'tensorflow', 'keras', 'pytorch', 'mxnet', 'matplotlib', 'seaborn', 'ggplot2', 'spark', 'tableau', 'git']
Data Engineer;Data Engineer;Tysons, VA;via Snagajob;Full-time and Part-time;FALSE;Sudan;10/10/2023 06:19;FALSE;FALSE;Sudan;hour;0;6115999603271480;LMI Consulting, LLC;['python', 'java', 'sql', 'snowflake', 'pyspark', 'scikit-learn']
Data Engineer;Sr. Data Engineer (remote);Anywhere;via Indeed;Full-time;TRUE;Texas, United States;26/10/2023 19:07;FALSE;TRUE;United States;year;135000.0;0;MultiPlan Inc.;['python', 'java', 'sql', 'nosql', 'mongodb', 'mongodb', 'azure', 'snowflake', 'kafka', 'spark', 'hadoop', 'docker', 'kubernetes']
Data Scientist;University Grad Data Science (PhD Only) - Now Hiring;San Francisco, CA;via Snagajob;Full-time and Part-time;FALSE;California, United States;09/10/2023 18:25;FALSE;FALSE;United States;hour;0;5338500213623040;Pinterest;
Data Engineer;Data Engineer - Now Hiring;Bellevue, WA;via Snagajob;Full-time and Part-time;FALSE;California, United States;09/10/2023 02:05;FALSE;FALSE;United States;hour;0;6444000244140620;Northwest Software, Inc;['sql', 'nosql', 'python', 'go', 'c++', 'postgresql', 'aws', 'azure', 'airflow', 'spark', 'pytorch', 'tensorflow', 'kafka', 'kubernetes']
Data Analyst;Sr/Lead Data Analyst LIVE - USDS;Los Angeles, CA;via Indeed;Full-time;FALSE;California, United States;03/10/2023 09:00;FALSE;TRUE;United States;year;149508.5;0;TikTok;['sql', 'python', 'express']
Data Scientist;Data Scientist;Anywhere;via LinkedIn;Contractor;TRUE;Florida, United States;20/10/2023 16:08;FALSE;FALSE;United States;hour;0;55.0;Forsyth Barnes;
Data Scientist;Intern - Data Scientist - Summer 2024 - Now Hiring;Anywhere;via Snagajob;Full-time, Part-time, and Internship;TRUE;California, United States;05/10/2023 03:04;FALSE;TRUE;United States;hour;0;25.0;Lumen;['sql', 'python', 'c', 'azure', 'kafka', 'jupyter']
Data Scientist;Data Scientist;Santa Ana, CA;via ZipRecruiter;Full-time and Part-time;FALSE;California, United States;10/10/2023 07:03;FALSE;FALSE;United States;year;98496.0;0;Office of General Counsel;
Software Engineer;Software Engineer - Data Engineering/Enterprise App Platforms;Anywhere;via LinkedIn;Full-time;TRUE;Mexico;05/10/2023 17:17;FALSE;FALSE;Mexico;year;155000.0;0;Cisco;['python', 'golang', 'shell', 'java', 'javascript', 'html', 'css', 'sql', 'mongo', 'elasticsearch', 'sql server', 'neo4j', 'snowflake', 'oracle', 'aws', 'gcp', 'azure', 'kafka', 'angular', 'jquery', 'linux', 'github', 'jenkins', 'ansible']
