job_title_short;job_title;job_location;job_via;job_schedule_type;job_work_from_home;search_location;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;company_name;job_skills
Senior Data Engineer;Senior Data Engineer - Cloud Infrastructure and Video;Coplay, PA;via ZipRecruiter;Full-time;FALSE;Illinois, United States;08/09/2023 22:31;FALSE;FALSE;United States;year;120000.0;0;Sports Info Solutions;['python', 'rust', 'c++', 'java', 'aws', 'gcp', 'azure']
Senior Data Analyst;Senior Data Analyst Remote;Anywhere;via ZipRecruiter;Full-time;TRUE;California, United States;07/09/2023 08:01;TRUE;FALSE;United States;year;170000.0;0;Arsenault;['sql', 'nosql', 'python', 'tableau']
Data Engineer;Associate, Data Engineer;Grand Rapids, MI;via Snagajob;Full-time;FALSE;Texas, United States;04/09/2023 06:06;FALSE;TRUE;United States;hour;0;3715499877929680;KPMG;['python', 'sql', 'go', 'jira']
Senior Data Engineer;Senior Data Engineer;Anywhere;via LinkedIn;Full-time;TRUE;New York, United States;06/09/2023 13:02;FALSE;FALSE;United States;year;200000.0;0;M Science;['databricks', 'snowflake', 'aws', 'airflow', 'tableau', 'git']
Data Engineer;Associate, Data Engineer - Now Hiring;Pittsburgh, PA;via Snagajob;Full-time;FALSE;New York, United States;02/09/2023 06:07;FALSE;TRUE;United States;hour;0;3821500015258780;KPMG;['python', 'sql', 'go', 'jira']
Data Scientist;Junior Data Scientist;Indianapolis, IN;via Dice;Full-time;FALSE;Illinois, United States;29/09/2023 20:04;FALSE;FALSE;United States;year;80000.0;0;Acadia Technologies, Inc.;
Data Analyst;Junior Data Analyst;Edmonton, AB, Canada;via Get.It;Part-time;FALSE;Canada;04/09/2023 10:16;FALSE;FALSE;Canada;hour;0;20.0;Trans-Tach;['sql', 'python', 'excel']
Data Scientist;Data Scientist II, Tech;New York, NY;via Indeed;Full-time;FALSE;New York, United States;30/09/2023 08:02;FALSE;TRUE;United States;year;140000.0;0;Uber;['sql', 'python']
Data Scientist;Data Scientist;Fremont, CA;via Indeed;Full-time;FALSE;California, United States;12/09/2023 20:05;FALSE;FALSE;United States;year;85000.0;0;SoundThinking;['python', 'r', 'sql', 'aws', 'pandas', 'numpy', 'tidyverse', 'matplotlib', 'ggplot2']
Senior Data Engineer;Senior Data Engineer - Principal Associate - Full-time / Part-time;Paris, TX;via Snagajob;Full-time;FALSE;Georgia;04/09/2023 02:35;FALSE;TRUE;United States;hour;0;5868000030517570;Capital One;['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']
Data Analyst;Data Analyst;Newnan, GA;via Indeed;Full-time;FALSE;Georgia;05/09/2023 19:01;FALSE;TRUE;United States;year;75000.0;0;JB HARRIS TRANSPORT;['sql', 'power bi', 'dax']
Senior Data Scientist;Senior Data Scientist - Language Modeling and AI;Belle, MO;via Snagajob;Full-time and Part-time;FALSE;Illinois, United States;20/09/2023 01:02;FALSE;TRUE;United States;hour;0;3785499954223630;EDWARD JONES;['python', 'r', 'scala', 'tensorflow', 'pytorch']
Senior Data Scientist;Senior Data Scientist - Clearance Required - Full-time / Part-time;Tysons, VA;via Snagajob;Full-time and Part-time;FALSE;New York, United States;28/09/2023 06:02;FALSE;FALSE;United States;hour;0;4762000274658200;LMI Consulting, LLC;['python', 'java', 'r', 'matlab', 'sql', 'databricks', 'spark', 'pyspark', 'scikit-learn', 'qlik']
Data Engineer;Data Engineer;Anywhere;via LinkedIn;Full-time;TRUE;Texas, United States;25/09/2023 22:04;FALSE;TRUE;United States;year;112500.0;0;Rhythmos;['python', 'java', 'sql', 'no-sql', 'scala', 'nosql', 'aws', 'gcp', 'kafka', 'spark', 'docker', 'kubernetes', 'confluence']
Data Engineer;Data Engineer;Anywhere;via Upwork;Contractor and Temp work;TRUE;California, United States;15/09/2023 19:06;TRUE;FALSE;United States;hour;0;100.0;Upwork;['sql', 'looker']
Data Engineer;Data Engineering Consultant (Hybrid) - Now Hiring;Burnsville, MN;via Snagajob;Full-time;FALSE;Sudan;17/09/2023 17:14;FALSE;TRUE;Sudan;hour;0;5096500015258780;Securian Financial Group;['sql', 'aws', 'flow']
Senior Data Engineer;Sr Data Engineer - (in-person in Aliso Viejo);Irvine, CA;via ZipRecruiter;Full-time;FALSE;Illinois, United States;05/09/2023 20:08;FALSE;TRUE;United States;year;135000.0;0;Adroit Worldwide Media, Inc. (AWM Smart Shelf);['sql', 'python', 'gcp', 'power bi', 'tableau']
Senior Data Analyst;Sr-level Data Analyst/Engineer;Augusta, GA;via Indeed;Full-time;FALSE;Georgia;01/09/2023 00:29;FALSE;TRUE;United States;year;145500.0;0;Peraton;['assembly', 'python', 'aws', 'azure', 'pandas', 'matplotlib', 'jupyter']
